name,device_role,tenant,manufacturer,model_name,platform,serial,asset_tag,status,site,rack_group,rack_name,position,face,comments
DC3-9540-1,Distribution Switch,,Brocade,SLX-9540-48S,Brocade-OS,,,Active,Equinix District of Columbia,Cage 005325,0103,41,Rear,
DC3 ATT AVPN 1,Router,Carrier Platform,Cisco,ASR 1001,Linux,,,Active,Equinix District of Columbia,Cage 005325,0103,25,Front,
DC3 ATT AVPN 2,Router,Carrier Platform,Cisco,ASR 1001,Linux,,,Active,Equinix District of Columbia,Cage 005325,0103,24,Front,
Dell-24JYX42,Access Switch,,Dell,N2048,,24JYX42,24JYX42,Active,NAP Cage 1,,R2-R5,41,Rear,
Dell-45WZX42,Access Switch,,Dell,N2048,,45WZX42,45WZX42,Active,NAP Cage 1,,R2-R5,40,Rear,
Dell DMZ,Access Switch,,Dell,N2048,,,,Inventory,NAP Cage 1,,Location pending audit,44,Front,Not in use. Remove this.
DEV-FDS-185-001,Server,Buckalew,Super Micro,8x3.5 Inch Bays (2U),,,,Active,Biltmore Suite 500 Server Room,,CS,11,Front,
DEV-FDS-185-002,Server,Buckalew,Super Micro,8x3.5 Inch Bays (2U),,,,Active,Biltmore Suite 500 Server Room,,CS,13,Front,
DevOps-UPS-1,PDU,,APC,Smart-UPS 3000,,,,Active,Biltmore Suite 500 Server Room,,DevOps,1,Front,
DevOps-UPS-2,PDU,,APC,Smart-UPS 3000,,,,Active,Biltmore Suite 500 Server Room,,DevOps,3,Front,
DevOps-UPS-3,PDU,,APC,Smart-UPS 2200,,,,Active,Biltmore Suite 500 Server Room,,DevOps,5,Front,
DevOps-UPS-4,PDU,,APC,Smart-UPS 2200,,,,Active,Biltmore Suite 500 Server Room,,DevOps,7,Front,
-discontinued-,Server,,Super Micro,8x2.5 Inch Bays (1U),,,,Inventory,NAP Cage 1,,R1-06,21,Front,
dpdk-test-01.nap.pdrop.net,Server,,Dell,R640,,89VR7M2,89VR7M2,Active,NAP Cage 1,,R2-02,38,Front,idrac IP: 10.141.8.66
dpdk-test-02.nap.pdrop.net,Server,,Dell,R640,,89VS7M2,89VS7M2,Active,NAP Cage 1,,R2-02,37,Front,LOM IP: 10.141.0.139
endeavor,Server,,Super Micro,4x3.5 Inch Bays (1U),,,,Active,NAP Cage 1,,R1-07,33,Front,No IPMI
engbld01.nap.pdrop.net,Server,,Dell,R620,,CW4PZ12,CW4PZ12,Active,NAP Cage 1,,R1-06,16,Front,LOM 10.141.0.127
ent-ams,Server,,Dell,R630,,8CSXBM2,8CSXBM2,Active,NAP Cage 1,,R2-03,32,Front,LOM IP: 10.141.0.168
ent-app01,Server,,Dell,R630,,8CVVBM2,8CVVBM2,Active,NAP Cage 1,,R2-03,34,Front,LOM IP: 10.141.8.109
ent-app02,Server,,Dell,R630,,8CVWBM2,8CVWBM2,Active,NAP Cage 1,,R2-03,28,Front,LOM IP: 10.141.0.170
ent-cctg,Server,,Dell,R630,,8CVZBM2,8CVZBM2,Active,NAP Cage 1,,R2-03,31,Front,LOM IP: 10.141.0.129
ent-esa01,Server,,Dell,R320,,DQHPZ12,DQHPZ12,Active,NAP Cage 1,,R2-03,33,Front,LOM IP: 10.141.0.167
ent-esa02,Server,,Dell,R320,,DDXSW52,DDXSW52,Active,NAP Cage 1,,R2-03,27,Front,LOM IP: 10.141.0.171
ent-int01,Server,,Dell,R630,,8CWTBM2,8CWTBM2,Active,NAP Cage 1,,R2-03,37,Front,LOM IP: 10.141.8.107
ent-int02,Server,,Dell,R630,,8CTTBM2,8CTTBM2,Active,NAP Cage 1,,R2-03,36,Front,LOM IP: 10.141.8.108
ent-int03,Server,,Dell,R630,,8CVYBM2,8CVYBM2,Active,NAP Cage 1,,R2-03,35,Front,LOM IP: 10.141.0.166
ent-pbint01,Server,,Dell,R630,,8CSYBM2,8CSYBM2,Active,NAP Cage 1,,R2-03,30,Front,LOM IP: 10.141.8.110
ent-pbint01-2,Server,,Dell,R630,,8CVTBM2,8CVTBM2,Active,NAP Cage 1,,R2-03,29,Front,LOM IP: 10.141.0.169
ent-pkt01,Server,,Dell,R630,,8CTVBM2,8CTVBM2,Active,NAP Cage 1,,R2-03,39,Front,LOM IP: 10.141.0.164
ent-pkt02,Server,,Dell,R330,,8CSZBM2,8CSZBM2,Active,NAP Cage 1,,R2-03,38,Front,LOM IP: 10.141.0.165
ESXI1,Virtualization Host,,Dell,R640,Linux,,,Active,Equinix Silicon Valley,,002035,35,Front,
ESXI2,Virtualization Host,,Dell,R640,Linux,,,Active,Equinix Silicon Valley,,002035,34,Front,
